,모집직종,직무내용,경력조건,학력,전공,자격면허,우대조건
10,-,"[주요업무] -해상 선박 빅데이터 분석 및 AI모델 개발 -Pattern Recognition, Classification, Prediction [자격요건] -Machine Learning 기반 풍부한 지식 -Deep Learning framework(Tensorflow, Keras, PyTorch, Python 등) 기반 개발 경험 -Pattern Recognition, Classification, Prediction AI 모델 개발 경험 - 빅데이터 분석 및 AI 관련 경력 5년 이상인 분 [우대사항] -NIPS, ICML, CVPR 등 최고 수준 국제학회 논문 게재 경험 -박사 학위 또는 선진 기업/연구기관에서의 연구 개발 경험 -최적화, 경량화 등 성능 개선을 위한 모델링 경험 [직급] 과장~부장",경력 (최소 5년 이상),대졸(4년),-,-,-
11,-,빅데이터/AI,무관,학력무관,-,-,-
12,-,빅데이터/AI,무관,석사,-,-,-
13,-,빅데이터/AI,무관,석사,-,-,-
14,-,빅데이터/AI,무관,대졸(4년),-,-,-
15,-,빅데이터/AI,무관,학력무관,-,-,-
16,-,"그래픽디자인/CG, 동영상제작/편집, 빅데이터/AI, 응용프로그램개발",무관,석사,-,-,-
17,-,빅데이터/AI,무관,대졸(4년),-,-,-
18,-,빅데이터/AI,무관,석사,-,-,-
19,-,빅데이터/AI,경력 (최소 12개월 이상),석사,-,-,-
20,-,경력-AI/빅데이터-컨설팅-서울,경력,-,-,-,-
21,-,빅데이터/AI,무관,학력무관,-,-,-
22,-,빅데이터/AI,무관,학력무관,-,-,-
23,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
24,-,빅데이터/AI,무관,학력무관,-,-,-
25,-,빅데이터/AI,무관,학력무관,-,-,-
26,-,"빅데이터/AI, DBA/데이터베이스",무관,석사,-,-,-
27,-,"빅데이터/AI, 전기/전자/제어, DBA/데이터베이스",무관,대졸(4년),-,-,-
28,-,빅데이터/AI,경력 (최소 12개월 이상),학력무관,-,-,-
29,-,"빅데이터/AI, 응용프로그램개발, DBA/데이터베이스",무관,대졸(4년),-,-,-
30,-,빅데이터/AI,무관,대졸(4년),-,-,-
31,-,- 생성형 AI 연구개발 - 솔루션 적용 연구개발,경력 (최소 3년 이상),대졸(2~3년),-,-,-
32,-,빅데이터/AI,무관,대졸(4년),-,-,-
33,-,"마케팅/PR/분석, 빅데이터/AI",무관,학력무관,-,-,-
34,-,"게임, 그래픽디자인/CG, 빅데이터/AI",무관,학력무관,-,-,-
35,"교육교재개발,교육기획,교육컨텐츠개발,인터넷·IT전문","ㆍ코딩 관련 교육컨텐츠 기획, 개발 ㆍ학교, 기관 파견 AI관련 수업 진행","신입, 경력 (연수무관)",학력무관,-,-,-
36,IT 컨설턴트,"지원자격 · 학력 : 학력무관 · 경력 : 신입 담당업무 · 정부 사업 관리 및 기획 · 고객 분석 및 Needs 도출 · 자사 서비스 및 솔루션 기획 & 운영 전략 수립 · 다양한 관계자와의 협업 수행 우대사항 ㆍ정부지원사업 수행 이력 등 유관업무 경력자 ㆍ스마트팩토리 / AI에 대한 이해와 경험 ㆍ공학계열 ㆍ문서작성 우수자, 컴퓨터활용능력 우수, PPT능력 우수자, 엑셀 고급능력자",신입,학력무관,-,-,"운전면허증, 차량소지자 기타 (ㆍ정부지원사업 수행 이력 등 유관업무 경력자
 ㆍ스마트팩토리 / AI에 대한 이해와 경험
 ㆍ공학계열
 ㆍ문서작성 우수자, 컴퓨터활용능력 우수, PPT능력 우수자, 엑셀 고급능력자)"
37,응용 소프트웨어 개발자,"우리 직업학교에서 유능한 강사님을 모집합니다. 자격조건 : AI 관련 또는 정보관련 직종 우대 : 강의 경력 1년이상 급여 : 강의는 1일 최대 5시간 가능 시간당   경력사항에 따라 협의 근무시간 : 주5일 시간은 협의 가능 (현재 요일 등록제로 시간표 편성) (상시 근무) 8시간 강의 내용: 쳇 GTP 활용하여 스테이블 디퓨전 , DALL·E 2 이미지 만드는 방법 면접시 : 이력서 , 경력증명서 , 자격증사본 , 졸업증명서 (관련 자격증 서류만 제출) (사진X) 이메일 접수 : hongsi888@naver.com 다산 홈페이지: http://www.gosigate.com/ 수업 시간 : 오전 타임 09:30 ~ 12:30 오후 타임 13:00 ~ 18:00 야간 타임 19:00 ~ 22:00 자세한 사항은 : 032-439-1127 문의 부탁드립니다. 4대 보험의무 가입 합니다.",경력 (최소 1년 이상) 우대,학력무관,정보·통신공학(학과 : 네트워크전공) 정보·통신공학(학과 : 정보네트워크공학전공),우대 : 정보처리산업기사,-
38,데이터 설계 및 프로그래머 직업정보,연구개발 부문 -하드웨어 개발경력자 -AI 딥러닝 개발 경력자 -외국인 지원 가능 * 전기/ 전자공학 우대 *이력서 확인 후 서류 합격자에 개별 연락 드리오니 회사로 전화 삼가 부탁드립니다.,경력 (최소 5년 이상) 우대,학력무관,전자공학(학과 : 전기전자공학계열),-,운전면허증
39,데이터 분석가(빅데이터 분석가) 직업정보,"<주요업무> - 인공지능 알고리즘 개발 및 연구 - 인공지능 서비스 솔루션 개발 - Vision/Time Series/NLP 데이터 처리 및 분석 <우대사항> - 전반적인 AI 기술에 대한 이해가 있으신 분 - Vision/Time Series/NLP 딥러닝 모델에 대한 이해 및 학습경험 - 딥러닝 프레임워크(Pytorch, Tensorflow 등) 사용 - 데이터를 분석하거나 모델링을 통해 결과를 도출해낸 경험이 있으신 분 * 서류전형 합격자에 한하여 면접일정 별도 안내드립니다.",신입,대졸(4년) ~ 박사,전산학·컴퓨터공학(학과 : 컴퓨터공학과) 전산학·컴퓨터공학(학과 : 인공지능전공),-,-
40,"프론트엔드개발자,앱개발자",-,경력 (최소 3년 이상),학력무관,-,-,-
41,머신러닝엔지니어,-,"신입, 경력 (연수무관)",석사,-,-,-
42,-,-,신입/경력,석사,-,-,-
43,-,-,신입/경력,석사,-,-,-
44,-,-,신입/경력,석사,-,-,-
45,"머신러닝엔지니어,시스템엔지니어,소프트웨어개발자",-,경력 (최소 4년 이상),대졸(4년),-,-,-
46,C언어 및 그 외 프로그래밍 언어 전문가 직업정보,"지원자격 · 학력 : 학사 학위 이상 · 경력 : 무관 (신입도 지원 가능) 필수 사항 · Visual Studio C/C++ 프로그래밍 경험자 담당업무 · 검사 알고리즘 개발(C++) · 검사 장비 UI 개발(C#) · 데이터셋 관리 우대사항 · C/C++ 활용/분석/코딩/디버깅 능력 보유자 · OpenCV 활용 및 영상처리 기술 보유자 · 임베디드 시스템 펌웨어 개발 경험 · DeepLearning, Object Detection, Darknet, Tensorflow 등 Computer Vision 관련 지식 보유자 · C# Winform기반 사용자 UI 개발 경험 · Object Detection 관련 최신 논문 기술 구현 가능자 · 컴퓨터공학, 응용소프트웨어공학, 정보·통신공학, 전자공학, 물리학, 광학 전공자",경력 (최소 3년 이상) 우대,대졸(4년) ~ 박사,-,-,"운전면허증, 차량소지자 기타 (· C/C++ 활용/분석/코딩/디버깅 능력 보유자
 
 · OpenCV 활용 및 영상처리 기술 보유자
 
 · 임베디드 시스템 펌웨어 개발 경험
 
 · DeepLearning, Object Detection, Darknet, Tensorflow 등 Computer Vision 관련 지식 보유자
 
 · C# Winform기반 사용자 UI 개발 경험
 
 · Object Detection 관련 최신 논문 기술 구현 가능자)"
47,데이터 분석가(빅데이터 분석가) 직업정보,"[공통 자격요건] ㆍ학력/성별 : 무관 ㆍ경력 : 경력 (1년 이상 또는 동등이상 개발이력) ㆍ수습 : 3개월 [담당업무] ㆍ인공지능 알고리즘 개발 [자격요건] ㆍLinux, Windows 환경에서 어플리케이션 설계 및 개발 ㆍPython 언어 개발 가능자 ㆍ인공지능 모델 개발에 필요한 기술 보유자 [우대사항] ㆍ인공지능 모델 서비스화 경험이 있으신 분 ㆍ인공지능 관련학과 석박사 우대 ㆍ열린 마음으로 목표를 위한 원활한 커뮤니케이션을 즐기시는 분 ㆍGit-hub 주소, 개발 포트폴리오 제출이 가능하신 분 [복리후생] ㆍ모든 임직원 통신비 제공 ㆍ모든 임직원 중식 제공 ㆍ명절(설/추석) 선물 지급 ㆍ경조금 지원 ㆍ야근시 식대 지원 ㆍ출퇴근시간 유연근무제 시행 ㆍ자율적인 휴가 사용(연차, 반차 등) * 회사 성장에 따라 복리후생 추가 예정",경력 (최소 1년 이상) 우대,학력무관,-,-,-
48,머신러닝엔지니어,-,경력 (최소 2년 이상),대졸(4년),-,-,-
49,-,-,신입,석사,-,-,-
50,데이터 분석가(빅데이터 분석가) 직업정보,"데이터수집, 정제 데이터 분석 인공지능 개발 논문연구",경력 (최소 1년 이상) 우대,학력무관,정보·통신공학(학과 : 데이터정보학과) 통계학(학과 : 데이터경영학과),우대 : 데이터분석준전문가 우대 : 빅데이터분석기사,-
51,경영 기획 사무원 직업정보,"사업계획서 작성 및 관리 문서 작성 경영전략 마케팅전략 기타 행정업무 [경영기획 > 사업환경 분석] 내부환경 분석하기,외부환경 분석하기,핵심 성공요소 도출하기 [경영기획 > 경영계획 수립] 전략방향 수립하기,경영목표 수립하기,사업계획 수립하기,사업별 경영계획 조정하기 [경영기획 > 신규사업 기획] 신규사업 아이템 발굴하기,신규사업 타당성 검토하기,신규사업 투자계획 수립하기,신규사업 성과 평가하기",관계없음,학력무관,경영학(학과 : 경영정보학전공(경영대학)) 경영학(학과 : IT경영학부),우대 : 데이터분석준전문가 우대 : 정보처리기사,-
52,"솔루션·컨텐츠,통신,통신망·장비,소프트웨어","1. 채용 포지션 : 솔루션 영업 총괄 2. 담당업무 : - SI 기술 영업팀 총괄로 SI 솔루션의 기술적 영업 - 금융권 , 통신사 등의 고객사 대상 신규 SI (AI) 제안 및 시장 확대를 위한 세일즈 전략수립 3. 자격 요건 - 대졸 이상 - SI, AI 등의 통신 소프트웨어 영업 업무 경력 15년 이상 4. 우대 사항 - AI 솔루션 망구성 설계 또는 개발에 대한 이해 - AI 솔루션(Voice G/W, STT, TTS, SOE, NLP 등) 상품 이해와 영업 경험 - 관련 전공 석사 이상",경력 (최소 15년 이상),대졸(4년),-,-,-
53,-,"1. 채용부문: 유명상장사 - R&D 연구기획 부문 채용(5년-10년 경력자) 2. 담당업무 - R&D 과제 연구 제안서 작성 - 연구 과제 관리 및 보고 - 정부기관 관련 업무 대응 3. 자격요건 - 학사 이상 (컴퓨터, 전기전자, 산업공학 등 관련 전공) - 의료기기/제약 등 관련 산업 연구기획 경력 5년 이상 - 컨소시엄 구성 및 제안서 작성 유경험자 - (우대사항) AI 또는 SW 관련 전공 학사 이상 학위자 의료/인공지능(AI) 관련 프로젝트 관리 유경험자 우대 MBA 또는 PMP 자격을 보유자 우대 4. 기타사항 - 근무지: 서울 - 제출서류: 이력서 및 경력기술서(자유양식) - 접수/문의: tony@pincus.co.kr (핀커스코리아 정재연 이사, 02-2051-3866)",경력 (최소 5년 이상),대졸(4년),-,-,-
54,"Windows,Win32,Visual C++(MFC·ATL)","1. 비전 처리 S/W 프로그래밍 및 개발자 - Vision Rule 기반 비전 처리, 비전 객체인식 처리, 영상인식/이미지 처리 및 인식 관련 S/W 프로그래밍 및 관련 산업용 컨트롤러 펌웨어 개발 업무 2. AI 가속기 처리 S/W 프로그래밍 및 개발자 - 비전(Vision) 차량 번호판 처리(LPR), AI 기반 객체인식 처리 S/W 프로그래밍 및 관련 산업용 컨트롤러 펌웨어 개발 업무",경력 (최소 5년 이상),대졸(4년),-,-,-
55,"C/C++,Visual C++,MFC","- 머신비전을 이용한 AI검사 및 측정장비 응용프로그램 개발 - AI알고리즘 개발 및 개선 (Classification, - 데이터 영상처리, 비전알고리즘 개발 및 개선 - 검사기 비전 및 AI 소프트웨어 Set-up 업무",신입,석사,-,-,"- 학사 이상 학력소지자(석, 박사 우대)
- 운전가능자
- 지방 및 해외 출장 가능한 자"
56,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
57,-,"빅데이터/AI, 웹개발, ERP/시스템개발/설계",무관,학력무관,-,-,-
58,-,"빅데이터/AI, 상품기획/MD",무관,대졸(4년),-,-,-
59,-,"기획/전략/경영, 빅데이터/AI",무관,대졸(4년),-,-,-
60,-,무관-AI/빅데이터-데이터라벨링-서울,경력,-,-,-,-
61,-,경력-AI/빅데이터-Devops-서울,경력,-,-,-,-
62,-,경력-AI/빅데이터-Backend-서울,경력,-,-,-,-
63,"클라우드엔지니어,머신러닝엔지니어,하드웨어개발자",-,경력 (연수무관),대졸(4년),-,-,-
64,경영 기획 사무원 직업정보,"KAIST 졸업생들이 만든 AI 스타트업 바스티온 로보틱스는 글로벌 방위산업 시장에 전술 인공지능을 공급하고 있습니다. 2024년 1월 77억 밸류 투자유치를 시작으로 본격적 사업을 추진하기 위해 인재를 채용하고 있습니다. 대표님을 보조하여 경영 기획 업무를 수행해 주실 경영 기획 사무원을 구합니다. 스타트업이므로 관련 경력은 무관하며,경력보다는 성실함, 꼼꼼함, 주인의식, 팀원들과의 캐미가 중요합니다. 관련 업무 기술은 4번째 창업경험의 팀원들이 자세하게 교육시켜 드립니다. 많은 관심과 지원 부탁 드립니다. [직무내용] 사업관련 자료 조사 - 정부창업지원관련 사업 조사, 지원자격 검토, 시장관련 자료 조사, 고객사 자료 조사 등 단순문서작성 - 창업지원사업 제안서 작성에 필요한 경영/회계 관련 자료 (회사 일반현황, 회사 이력, 참여인력 이력 등등) 작성 단순회계 및 행정 - 은행 계좌 거래 내역 정리 (한달에 한~두건) - 부가세 관련 업무 (한 분기에 한~두건) - 재무제표 업데이트 (필요시, 한 분기에 한번) 고급문서작성 (가능자 우대) - 사업소개 발표자료 (PPT) 지시에 따라 수정, 또는 일부 작성 - 매출계획 등 재무 계획 자료 (엑셀) 지시에 따라 수정 , 또는 일부 작성 자기개발 위해 영어, 코딩, 인공지능 배우고 싶으신 분 우대",관계없음,고졸 ~ 석사,-,우대 : 정보기술자격(ITQ)-한글파워포인트C급 우대 : 정보기술자격(ITQ)-아래한글C급,"- 기타 (초기 스타트업이어서 대기업 수준의 연봉을 보장해 드리지 못하는 만큼, 재택근무 + 근무시간을 자유롭게 조정하실 수 있는 환경이 중요하신 분들과 함께하여 Win Win 하는 전략입니다.
 
 영어공부 관심 있으신분 우대합니다. 글로벌 스타트업이므로 영어 활용 기회가 많습니다.)"
65,"기계엔지니어,설계엔지니어,전기기사,전기·전자엔지니어,R&D·연구원,시공기사,시설관리자,필드엔지니어,생산직종사자",-,경력 (연수무관),학력무관,-,-,-
66,"경영·비즈니스 기획,마케팅기획,영업지원,영업관리,사무담당자,IT컨설팅,IT·기술영업,R&D·연구원,브랜드마케터,AE(광고기획자),광고디자이너,온라인마케터,퍼포먼스마케터,콘텐츠마케터,홍보,채널관리자,기계엔지니어,CRM마케터",-,경력 (최소 7년 이상),대졸(4년),-,-,-
67,운동처방사 직업정보,"▣ 직무내용 :  AI․IOT기반 어르신 건강관리사업(대상자 건강 스크리닝, 디바이스 등 활용 안내, 건강측정보 모니터링, 비대면 만성질환 및 건강관리 컨설팅, 프로그램 운영, 물품관리 등 ▣ 접수기간 : 24.2.20.(화)~2.22.(목) 17:00까지/ 2.27. 면접/ 2.28. 발표 예정 ▣ 근로기간 : 24.3.4.~9.30.(단,예산범위내 변경가능) ▣ 근로조건 : 주5일, 일급90,000원 ▣ 접수방법 : 해운대구 재반보건지소 3층 행정실 방문 또는 등기우편 ☎051-749-6524 ▣ 우대요건 : 간호사 면허증, 운동처방사 자격증 소지자 ▣ 제출서류 등 자세한 내용은 첨부파일 확인후 워크넷 또는 일자리센터 방문하여 구직등록확인증 발급 후 지원바랍니다.",관계없음,학력무관,-,필수 : 간호사 필수 : 건강운동관리사,보훈취업지원대상자
68,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
69,-,빅데이터/AI,무관,학력무관,-,-,-
70,-,"빅데이터/AI, 전기/전자/제어",무관,대졸(4년),-,-,-
71,-,"빅데이터/AI, 웹개발, 응용프로그램개발",경력 (최소 12개월 이상),학력무관,-,-,-
72,-,"빅데이터/AI, 웹기획/PM/웹마케팅",무관,학력무관,-,-,-
73,-,"빅데이터/AI, 웹개발",무관,학력무관,-,-,-
74,-,"빅데이터/AI, DBA/데이터베이스",무관,대졸(4년),-,-,-
75,-,"빅데이터/AI, 웹개발",무관,대졸(2~3년),-,-,-
76,-,빅데이터/AI,무관,학력무관,-,-,-
77,-,빅데이터/AI,무관,석사,-,-,-
78,-,빅데이터/AI,무관,학력무관,-,-,-
79,-,"빅데이터/AI, 웹개발, 응용프로그램개발, DBA/데이터베이스",경력 (최소 12개월 이상),학력무관,-,-,-
80,-,"빅데이터/AI, DBA/데이터베이스",경력 (최소 12개월 이상),학력무관,-,-,-
81,-,"빅데이터/AI, 웹개발",무관,석사,-,-,-
82,-,빅데이터/AI,무관,석사,-,-,-
83,-,빅데이터/AI,무관,학력무관,-,-,-
84,-,빅데이터/AI,무관,학력무관,-,-,-
85,-,"빅데이터/AI, DBA/데이터베이스",무관,대졸(4년),-,-,-
86,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
87,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
88,-,빅데이터/AI,무관,학력무관,-,-,-
89,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
90,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
91,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
92,-,"빅데이터/AI, 웹개발, 응용프로그램개발",무관,학력무관,-,-,-
93,-,"빅데이터/AI, 웹개발, 응용프로그램개발, DBA/데이터베이스",무관,대졸(4년),-,-,-
94,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
95,-,"빅데이터/AI, 웹개발, 응용프로그램개발, DBA/데이터베이스",무관,대졸(4년),-,-,-
96,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
97,-,"빅데이터/AI, 의료직기타",무관,학력무관,-,-,-
98,-,"빅데이터/AI, 의료직기타",무관,대졸(4년),-,-,-
99,-,"빅데이터/AI, 의료직기타",무관,학력무관,-,-,-
100,-,"빅데이터/AI, 의료직기타",무관,대졸(4년),-,-,-
101,-,"빅데이터/AI, 사무보조/문서작성",무관,대졸(4년),-,-,-
102,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
103,-,"빅데이터/AI, 웹개발",무관,학력무관,-,-,-
104,-,빅데이터/AI,무관,학력무관,-,-,-
105,-,빅데이터/AI,무관,학력무관,-,-,-
106,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
107,-,빅데이터/AI,무관,학력무관,-,-,-
108,-,빅데이터/AI,무관,대졸(4년),-,-,-
109,-,빅데이터/AI,무관,학력무관,-,-,-
110,-,빅데이터/AI,무관,석사,-,-,-
111,-,빅데이터/AI,무관,석사,-,-,-
112,-,"빅데이터/AI, DBA/데이터베이스",무관,석사,-,-,-
113,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
114,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
115,-,"빅데이터/AI, 응용프로그램개발",무관,학력무관,-,-,-
116,-,"빅데이터/AI, DBA/데이터베이스",경력 (최소 12개월 이상),학력무관,-,-,-
117,-,빅데이터/AI,무관,학력무관,-,-,-
118,-,"빅데이터/AI, 응용프로그램개발, DBA/데이터베이스",무관,석사,-,-,-
119,-,빅데이터/AI,무관,학력무관,-,-,-
120,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
121,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
122,-,"빅데이터/AI, DBA/데이터베이스",무관,석사,-,-,-
123,-,"빅데이터/AI, DBA/데이터베이스",무관,석사,-,-,-
124,-,"빅데이터/AI, 웹개발, 응용프로그램개발, ERP/시스템개발/설계",무관,학력무관,-,-,-
125,-,"빅데이터/AI, DBA/데이터베이스",무관,석사,-,-,-
126,-,"빅데이터/AI, 웹기획/PM/웹마케팅",무관,학력무관,-,-,-
127,-,"빅데이터/AI, 웹기획/PM/웹마케팅",무관,학력무관,-,-,-
